rank_x,postid,rank_y,rank
2176.0,20592886,4.0,
2588.0,10566473,,
1700.0,38822132,,
1149.0,32092458,,
3001.0,59408283,2899.0,
1007.0,43337147,,
250.0,35585428,126.0,
907.0,51929941,,
858.0,33925430,,
846.0,55754330,97.0,
1782.0,6007883,,766.0
1247.0,6022898,240.0,
712.0,31979189,,
1664.0,38559429,,
749.0,38295777,,
2.0,6123378,,
,14975638,938.0,
,38658033,1532.0,
,14041601,1211.0,
,26497751,3805.0,
,28543538,42.0,
,14964457,9.0,
,33574457,55.0,
,57356463,500.0,480.0
,26896087,1440.0,
,51923603,519.0,
,43189512,77.0,1144.0
,12417454,1.0,
,4765256,631.0,
,29504327,140.0,108.0
,24033733,22.0,
,42611836,1359.0,
,12806128,161.0,272.0
,38644943,84.0,
,36431158,498.0,
,27326929,523.0,
,45891034,2088.0,2122.0
,11056625,198.0,
,6329962,111.0,
,26796829,3339.0,
,47723890,2.0,1126.0
,19936432,127.0,
,7960798,1739.0,
,53479557,3408.0,
,37761096,2291.0,
,36974450,2034.0,1.0
,36023558,165.0,
,56983105,166.0,
,25565817,1183.0,
,5320814,3465.0,68.0
,33769770,3607.0,
,51352697,302.0,
,50341423,12.0,46.0
,1882734,29.0,
,49554201,508.0,
,10966109,1606.0,
,21185336,1.0,
,10483349,3.0,
,7726034,760.0,
,29827948,1741.0,
,48469441,2641.0,
,32544646,117.0,
,16070405,3703.0,
,11676476,1522.0,
,37131569,2.0,
,49746686,2.0,
,32773617,3346.0,
,36571864,899.0,
,38177908,3348.0,
,24705431,514.0,
,16196327,1.0,
,34345945,10.0,482.0
,28979857,36.0,1802.0
,49517374,181.0,2761.0
,34522732,1996.0,
,4785933,447.0,985.0
,9965747,80.0,1420.0
,57937662,488.0,
,8055508,331.0,
,36335498,208.0,
,3650862,8.0,
,17691036,16.0,
,27004167,1529.0,
,49676982,3282.0,62.0
,47850921,69.0,
,43251214,3.0,
,33117997,710.0,
,29624895,684.0,
,19404270,2106.0,
,51551082,2597.0,
,12019638,758.0,
,13703344,3.0,
,12584704,1.0,
,26519172,3964.0,2074.0
,26706159,17.0,
,55550126,120.0,64.0
,20039335,1981.0,
,28889057,1925.0,
,38440350,56.0,
,45779447,103.0,
,19858729,54.0,
,34764830,3575.0,
,58131498,12.0,
,45321041,93.0,
,52193105,3853.0,
,33447901,1.0,1786.0
,36669528,17.0,
,47537760,1990.0,
,36620585,213.0,1453.0
,44973544,1961.0,
,53099087,21.0,
,52576686,48.0,
,53618077,115.0,
,41608294,75.0,747.0
,59380554,1250.0,1234.0
,5749252,99.0,
,59639543,17.0,
,21917358,1996.0,
,60948668,978.0,
,25056597,1117.0,
,15431924,1118.0,
,43480866,12.0,
,15591704,73.0,
,30560405,305.0,
,41925706,574.0,
,34020079,288.0,163.0
,25109672,32.0,
,15421130,7.0,
,51494868,3481.0,
,29529021,346.0,
,31365768,1700.0,
,19920281,983.0,
,45720125,19.0,
,49013393,12.0,
,23961022,1245.0,
,23436577,2005.0,
,48336742,2828.0,2088.0
,33748871,38.0,1305.0
,53053598,352.0,
,14827853,564.0,
,46747475,158.0,
,45448169,2012.0,
,58648886,2509.0,
,31868370,2178.0,
,34230391,1833.0,
,50685421,1079.0,
,7169202,361.0,
,16111242,3467.0,
,54879274,241.0,
,26403919,1.0,
,55675591,3.0,
,52675487,118.0,
,36260816,1341.0,
,30491545,72.0,
,31538038,3458.0,1721.0
,44190450,2396.0,
,48657034,2166.0,
,29174774,1071.0,2050.0
,26667162,146.0,
,45948534,12.0,
,12468574,50.0,
,26449666,17.0,
,25727473,47.0,
,41596273,34.0,
,22389993,166.0,
,48333425,325.0,
,22380926,37.0,
,48332680,2921.0,
,32724775,50.0,
,60766742,278.0,
,38104901,1074.0,
,36238521,2171.0,
,19014360,4.0,
,48819333,1075.0,
,22916337,13.0,
,49756005,1076.0,
,9915824,1077.0,
,58550163,457.0,
,12829995,50.0,
,12723182,2398.0,
,39176643,2426.0,
,51087287,1755.0,1013.0
,4167529,15.0,3987.0
,49859149,2538.0,
,10421668,34.0,
,52276088,549.0,
,6986657,234.0,
,20671888,89.0,
,15670799,1300.0,2.0
,53266457,1242.0,
,3190087,1079.0,
,36110815,2075.0,
,17766989,324.0,
,6132332,375.0,
,33597728,289.0,
,45655879,3343.0,
,38525383,2185.0,
,52208380,131.0,
,9505495,1082.0,
,52106980,433.0,
,45652340,2187.0,
,24942366,6.0,
,57385749,2188.0,
,24467936,363.0,
,34244210,92.0,
,42058059,1284.0,
,55611370,6.0,3754.0
,14604820,2191.0,
,26112990,158.0,
,8935523,824.0,
,53931501,2384.0,
,41133617,41.0,335.0
,18355686,249.0,
,28529823,31.0,
,44334535,1089.0,4.0
,60062311,1236.0,
,46298066,71.0,3078.0
,24701419,36.0,
,13137912,1464.0,
,8251632,2147.0,
,60847460,454.0,
,41879049,557.0,
,37393329,1404.0,
,22009871,295.0,53.0
,7680959,161.0,
,12100856,105.0,
,42604439,13.0,
,27552810,1034.0,
,32106333,3246.0,
,11366964,238.0,694.0
,12609816,197.0,
,31075826,1.0,
,29648127,31.0,
,30643213,84.0,
,10620862,128.0,
,17222942,1837.0,
,50243929,3799.0,
,23875757,,407.0
,47730589,,2244.0
,3082716,,16.0
,28159936,,1033.0
,57647120,,180.0
,22558887,,711.0
,2286831,,1.0
,12125364,,1995.0
,8761857,,2219.0
,36187931,,3904.0
,17222981,,3367.0
,16512371,,2643.0
,61353320,,1054.0
,36936613,,3789.0
,47720329,,2358.0
,61649029,,1.0
,45265792,,1.0
,54701979,,31.0
,6902087,,57.0
,60330449,,2500.0
,45549449,,1587.0
,12018499,,629.0
,12647774,,1013.0
,5713713,,2468.0
,17761858,,199.0
,8197559,,2401.0
,9184969,,102.0
,18287981,,24.0
,10438969,,295.0
,1189759,,2325.0
,38372906,,1964.0
,29793398,,842.0
,5415132,,87.0
,31381066,,3077.0
,25137444,,3911.0
,35651669,,3147.0
,5453336,,1688.0
,12448428,,1057.0
,20941744,,3388.0
,46818951,,2017.0
,31089205,,103.0
,9058728,,3902.0
,38348097,,971.0
,59119580,,943.0
,45222720,,459.0
,59113457,,4.0
,31063959,,1807.0
,9829424,,2963.0
